model tuple,gen,test result
"('111', '1111111111')","{'S_1': '1-11', 'S_2': '1-11-111-1111'}","(0.9913, 0.03284622222184844)"
"('111', '1111111110')","{'S_1': '1-11', 'S_2': '1-11-111-1110'}","(0.9908, 0.03284897330286913)"
"('111', '1111111101')","{'S_1': '1-11', 'S_2': '1-11-111-1101'}","(0.9908, 0.03231492115118308)"
"('111', '1111111100')","{'S_1': '1-11', 'S_2': '1-11-111-1100'}","(0.9896, 0.035069389396719636)"
"('111', '1111111011')","{'S_1': '1-11', 'S_2': '1-11-111-1011'}","(0.9908, 0.032636848327878394)"
"('111', '1111111010')","{'S_1': '1-11', 'S_2': '1-11-111-1010'}","(0.9894, 0.03445284621994069)"
"('111', '1111111001')","{'S_1': '1-11', 'S_2': '1-11-111-1001'}","(0.9898, 0.03315646142156329)"
"('111', '1111111000')","{'S_1': '1-11', 'S_2': '1-11-111-1000'}","(0.9879, 0.03995030415356159)"
"('111', '1111110111')","{'S_1': '1-11', 'S_2': '1-11-111-0111'}","(0.9914, 0.05348591482043266)"
"('111', '1111110110')","{'S_1': '1-11', 'S_2': '1-11-111-0110'}","(0.9858, 0.2691321672439575)"
"('111', '1111110101')","{'S_1': '1-11', 'S_2': '1-11-111-0101'}","(0.9911, 0.1449658485174179)"
"('111', '1111110100')","{'S_1': '1-11', 'S_2': '1-11-111-0100'}","(0.8452, 1.2087665504455567)"
"('111', '1111110011')","{'S_1': '1-11', 'S_2': '1-11-111-0011'}","(0.9895, 0.10591337761878968)"
"('111', '1111110010')","{'S_1': '1-11', 'S_2': '1-11-111-0010'}","(0.9422, 0.8628445206642151)"
"('111', '1111110001')","{'S_1': '1-11', 'S_2': '1-11-111-0001'}","(0.9878, 0.409323402929306)"
"('111', '1111110000')","{'S_1': '1-11', 'S_2': '1-11-111-0000'}","(0.113, 2.69136657371521)"
"('111', '1111101111')","{'S_1': '1-11', 'S_2': '1-11-110-1111'}","(0.9913, 0.03369848871546856)"
"('111', '1111101110')","{'S_1': '1-11', 'S_2': '1-11-110-1110'}","(0.9908, 0.03307744428045117)"
"('111', '1111101101')","{'S_1': '1-11', 'S_2': '1-11-110-1101'}","(0.9911, 0.03207917915473227)"
"('111', '1111101100')","{'S_1': '1-11', 'S_2': '1-11-110-1100'}","(0.9889, 0.03540619719754905)"
"('111', '1111101011')","{'S_1': '1-11', 'S_2': '1-11-110-1011'}","(0.9902, 0.03374179742420092)"
"('111', '1111101010')","{'S_1': '1-11', 'S_2': '1-11-110-1010'}","(0.9893, 0.034576965595420915)"
"('111', '1111101001')","{'S_1': '1-11', 'S_2': '1-11-110-1001'}","(0.9902, 0.03356058108606376)"
"('111', '1111101000')","{'S_1': '1-11', 'S_2': '1-11-110-1000'}","(0.9868, 0.041399227142939345)"
"('111', '1111100111')","{'S_1': '1-11', 'S_2': '1-11-110-0111'}","(0.9913, 0.05645532420277596)"
